record,observer_id,date,time,time_meal,enclosure_access,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,,,,
765,1231,06/10/2016,14:11:52,before,satellite_only,satellite,CL,CL,,61.444,1,inactive,satellite,inactive,,,,,
767,1231,06/10/2016,14:12:53,before,satellite_only,satellite,CL,CL,HUMAN,3.789,1,human_interaction,satellite,caregiver,,,,,
769,1231,06/10/2016,14:12:57,before,satellite_only,satellite,CL,CL,,50.507,1,inactive,satellite,inactive,,,,,
771,1231,06/10/2016,14:13:47,before,satellite_only,satellite,CL,CL,HUMAN,3.704,1,human_interaction,satellite,caregiver,,,,,
773,1231,06/10/2016,14:13:51,before,satellite_only,satellite,CL,CL,,10.756,1,inactive,satellite,inactive,,,,,
775,1231,06/10/2016,14:14:02,before,satellite_only,satellite,CL,CL,,10.812,1,movement,satellite,movement,,,,,
777,1231,06/10/2016,14:14:13,before,satellite_only,satellite,CL,CL,CL,4.024,1,sdb_scratching,satellite,self_directed,,,,,
779,1231,06/10/2016,14:14:17,before,satellite_only,satellite,CL,CL,,22.251,1,movement,satellite,movement,,,,,
781,1231,06/10/2016,14:14:39,before,satellite_only,satellite,CL,CL,CL,5.21,1,sdb_scratching,satellite,self_directed,,,,,
783,1231,06/10/2016,14:14:44,before,satellite_only,satellite,CL,CL,,4.293,1,inactive,satellite,inactive,,,,,
785,1231,06/10/2016,14:14:48,before,satellite_only,satellite,CL,CL,CL,5.446,1,sdb_scratching,satellite,self_directed,,,,,
787,1231,06/10/2016,14:14:54,before,satellite_only,satellite,CL,CL,,15.021,1,movement,satellite,movement,,,,,
789,1231,06/10/2016,14:15:09,before,satellite_only,satellite,CL,CL,,2.95,1,inactive,satellite,inactive,,,,,
791,1231,06/10/2016,14:15:12,before,satellite_only,satellite,CL,CL,CL,5.747,1,sdb_scratching,satellite,self_directed,,,,,
793,1231,06/10/2016,14:15:18,before,satellite_only,satellite,CL,CL,,14.4,1,movement,satellite,movement,,,,,
795,1231,06/10/2016,14:15:32,before,satellite_only,satellite,CL,CL,,9.15,1,inactive,satellite,inactive,,,,,
797,1231,06/10/2016,14:15:41,before,satellite_only,satellite,CL,CL,,19.465,1,movement,satellite,movement,,,,,
799,1231,06/10/2016,14:16:01,before,satellite_only,satellite,CL,CL,,8.276,1,inactive,satellite,inactive,,,,,
801,1231,06/10/2016,14:16:09,before,satellite_only,satellite,CL,CL,CL,5.625,1,sdb_scratching,satellite,self_directed,,,,,
803,1231,06/10/2016,14:16:14,before,satellite_only,satellite,CL,CL,,32.167,1,movement,satellite,movement,,,,,
805,1231,06/10/2016,14:16:47,before,satellite_only,satellite,CL,CL,CL,7.299,1,sdb_scratching,satellite,self_directed,,,,,
807,1231,06/10/2016,14:16:54,before,satellite_only,satellite,CL,CL,,9.089,1,movement,satellite,movement,,,,,
809,1231,06/10/2016,14:17:03,before,satellite_only,satellite,CL,CL,,20.234,1,inactive,satellite,inactive,,,,,
811,1231,06/10/2016,14:17:23,before,satellite_only,satellite,CL,CL,CL,4.823,1,sdb_other,satellite,self_directed,,,,,
813,1231,06/10/2016,14:17:28,before,satellite_only,satellite,CL,CL,CL,6.497,1,sdb_scratching,satellite,self_directed,,,,,
815,1231,06/10/2016,14:17:35,before,satellite_only,satellite,CL,CL,,9.204,1,inactive,satellite,inactive,,,,,
817,1231,06/10/2016,14:17:44,before,satellite_only,satellite,CL,CL,CL,5.093,1,sdb_scratching,satellite,self_directed,,,,,
819,1231,06/10/2016,14:17:49,before,satellite_only,satellite,CL,CL,,15.23,1,movement,satellite,movement,,,,,
821,1231,06/10/2016,14:18:04,before,satellite_only,satellite,CL,CL,,4.433,1,inactive,satellite,inactive,,,,,
823,1231,06/10/2016,14:18:09,before,satellite_only,satellite,CL,CL,CL,3.558,1,sdb_yawn,satellite,other,,,,,
825,1231,06/10/2016,14:18:12,before,satellite_only,satellite,CL,CL,,68.803,1,inactive,satellite,inactive,,,,,
827,1231,06/10/2016,14:19:21,before,satellite_only,satellite,CL,CL,HUMAN,3.739,1,human_interaction,satellite,caregiver,,,,,
829,1231,06/10/2016,14:19:25,before,satellite_only,satellite,CL,CL,,13.137,1,inactive,satellite,inactive,,,,,
834,1231,06/10/2016,14:21:27,before,satellite_only,satellite,PE,PE,,44.97,1,inactive,satellite,inactive,,,,,
835,1231,06/10/2016,14:22:09,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
837,1231,06/10/2016,14:22:12,before,satellite_only,satellite,PE,PE,,33.998,1,inactive,satellite,inactive,,,,,
838,1231,06/10/2016,14:22:43,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
840,1231,06/10/2016,14:22:46,before,satellite_only,satellite,PE,PE,,9.385,1,inactive,satellite,inactive,,,,,
842,1231,06/10/2016,14:22:55,before,satellite_only,satellite,PE,PE,PE,4.896,1,sdb_scratching,satellite,self_directed,,,,,
844,1231,06/10/2016,14:23:00,before,satellite_only,satellite,PE,PE,,71.633,1,inactive,satellite,inactive,,,,,
845,1231,06/10/2016,14:24:09,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
847,1231,06/10/2016,14:24:12,before,satellite_only,satellite,PE,PE,,46.501,1,inactive,satellite,inactive,,,,,
848,1231,06/10/2016,14:24:57,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
850,1231,06/10/2016,14:24:59,before,satellite_only,satellite,PE,PE,,23.552,1,inactive,satellite,inactive,,,,,
852,1231,06/10/2016,14:25:22,before,satellite_only,satellite,PE,PE,,6.117,1,movement,satellite,movement,,,,,
854,1231,06/10/2016,14:25:28,before,satellite_only,satellite,PE,PE,PE,17.687,1,sdb_scratching,satellite,self_directed,,,,,
856,1231,06/10/2016,14:25:46,before,satellite_only,satellite,PE,PE,,3.058,1,inactive,satellite,inactive,,,,,
858,1231,06/10/2016,14:25:49,before,satellite_only,satellite,PE,PE,,7.086,1,movement,satellite,movement,,,,,
859,1231,06/10/2016,14:25:54,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
861,1231,06/10/2016,14:25:56,before,satellite_only,satellite,PE,PE,,22.131,1,movement,satellite,movement,,,,,
864,1231,06/10/2016,14:26:18,before,satellite_only,satellite,PE,PE,,28.758,1,feed,satellite,forage,,,,,
866,1231,06/10/2016,14:26:47,before,satellite_only,satellite,PE,PE,DU,42.638,1,feed_cofeed,satellite,forage,,,,,
868,1231,06/10/2016,14:27:30,before,satellite_only,satellite,PE,PE,,1.753,1,movement,satellite,movement,,,,,
870,1231,06/10/2016,14:27:31,before,satellite_only,satellite,PE,PE,,39.706,1,feed,satellite,forage,,,,,
872,1231,06/10/2016,14:28:11,before,satellite_only,satellite,PE,PE,,13.754,1,movement,satellite,movement,,,,,
874,1231,06/10/2016,14:28:25,before,satellite_only,satellite,PE,PE,DU,19.682,1,feed_cofeed,satellite,forage,,,,,
876,1231,06/10/2016,14:28:44,before,satellite_only,satellite,PE,PE,CL,88.314,1,feed_cofeed,satellite,forage,,,,,
877,1231,06/10/2016,14:30:07,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
879,1231,06/10/2016,14:30:13,before,satellite_only,satellite,PE,PE,CL,10.036,1,feed_cofeed,satellite,forage,,,,,
881,1231,06/10/2016,14:30:23,before,satellite_only,satellite,PE,PE,,35.077,1,movement,satellite,movement,,,,,
883,1231,06/10/2016,14:30:58,before,satellite_only,satellite,PE,PE,,57.983,1,feed,satellite,forage,,,,,
885,1231,06/10/2016,14:31:56,before,satellite_only,satellite,PE,PE,,24.983,1,movement,satellite,movement,,,,,
886,1231,06/10/2016,14:32:12,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
888,1231,06/10/2016,14:32:21,before,satellite_only,satellite,PE,PE,,48.24,1,feed,satellite,forage,,,,,
889,1231,06/10/2016,14:33:07,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
891,1231,06/10/2016,14:33:09,before,satellite_only,satellite,PE,PE,,40.147,1,feed,satellite,forage,,,,,
892,1231,06/10/2016,14:33:21,before,satellite_only,satellite,PE,PE,,0,1,v_whinny,satellite,vocalization,,,,,
894,1231,06/10/2016,14:33:49,before,satellite_only,satellite,PE,PE,,45.675,1,feed,satellite,forage,,,,,
896,1231,06/10/2016,14:34:35,before,satellite_only,satellite,PE,PE,,34.581,1,movement,satellite,movement,,,,,
898,1231,06/10/2016,14:35:09,before,satellite_only,satellite,PE,PE,,8.547,1,inactive,satellite,inactive,,,,,
900,1231,06/10/2016,14:35:18,before,satellite_only,satellite,PE,PE,,15.695,1,rubbing,satellite,sociosexual,,,,,
902,1231,06/10/2016,14:35:34,before,satellite_only,satellite,PE,PE,,9.695,1,inactive,satellite,inactive,,,,,
904,1231,06/10/2016,14:35:43,before,satellite_only,satellite,PE,PE,PE,7.947,1,sdb_scratching,satellite,self_directed,,,,,
906,1231,06/10/2016,14:35:51,before,satellite_only,satellite,PE,PE,,19.087,1,movement,satellite,movement,,,,,
908,1231,06/10/2016,14:36:10,before,satellite_only,satellite,PE,PE,,13.046,1,inactive,satellite,inactive,,,,,
910,1231,06/10/2016,14:36:23,before,satellite_only,satellite,PE,PE,,6.628,1,rubbing,satellite,sociosexual,,,,,
912,1231,06/10/2016,14:36:30,before,satellite_only,satellite,PE,PE,,25.166,1,inactive,satellite,inactive,,,,,
914,1231,06/10/2016,14:36:55,before,satellite_only,satellite,PE,PE,,6.403,1,rubbing,satellite,sociosexual,,,,,
916,1231,06/10/2016,14:37:02,before,satellite_only,satellite,PE,PE,,8.849,1,inactive,satellite,inactive,,,,,
918,1231,06/10/2016,14:37:11,before,satellite_only,satellite,PE,PE,,7.624,1,movement,satellite,movement,,,,,
920,1231,06/10/2016,14:37:18,before,satellite_only,satellite,PE,PE,,51.691,1,feed,satellite,forage,,,,,
922,1231,06/10/2016,14:38:10,before,satellite_only,satellite,PE,PE,,5.453,1,movement,satellite,movement,,,,,
924,1231,06/10/2016,14:38:15,before,satellite_only,satellite,PE,PE,,19.745,1,inactive,satellite,inactive,,,,,
